timestamp,mg320,pg12,evg,jager,schl1,schl4,schl5,schl6,schl7
07:31:15,0,0,0,0,0,0,0,0,0
07:31:24,0,0,0,0,0,0,0,0,0
07:31:33,0,0,0,0,0,0,0,0,0
07:31:42,0,0,0,0,0,0,0,0,0
07:31:51,0,0,0,0,0,0,0,0,0
07:31:59,0,0,0,0,0,0,0,0,0
07:32:08,0,0,0,0,0,0,0,0,0
07:32:34,0,0,0,0,0,0,0,0,0
07:32:43,0,0,0,0,0,0,0,0,0
07:32:52,0,0,0,0,0,0,0,0,0
07:33:01,0,0,0,0,0,0,0,0,0
07:33:10,0,0,0,0,0,0,0,0,0
07:33:19,0,0,0,0,0,0,0,0,0
07:33:28,0,0,0,0,0,0,0,0,0
07:34:03,0,0,0,0,0,0,0,0,0
07:34:12,0,0,0,0,0,0,0,0,0
07:34:20,0,0,0,0,0,0,0,0,0
07:34:29,0,0,0,0,0,0,0,0,0
07:34:38,0,0,0,0,0,0,0,0,0
07:34:47,0,0,0,0,0,0,0,0,0
07:35:13,0,0,0,0,0,0,0,0,0
07:35:22,0,0,0,0,0,0,0,0,0
07:35:31,0,0,0,0,0,0,0,0,0
07:35:40,0,0,0,0,0,0,0,0,0
07:35:49,0,0,0,0,0,0,0,0,0
07:35:57,0,0,0,0,0,0,0,0,0
07:36:06,0,0,0,0,0,0,0,0,0
07:36:32,0,0,0,0,0,0,0,0,0
07:36:41,0,0,0,0,0,0,0,0,0
07:36:50,0,0,0,0,0,0,0,0,0
07:36:59,0,0,0,0,0,0,0,0,0
07:37:08,0,0,0,0,0,0,0,0,0
07:37:16,0,0,0,0,0,0,0,0,0
07:37:25,0,0,0,0,0,0,0,0,0
07:37:34,0,0,0,0,0,0,0,0,0
07:37:43,0,0,0,0,0,0,0,0,0
07:38:09,0,0,0,0,0,0,0,0,0
07:38:18,0,0,0,0,0,0,0,0,0
07:38:27,0,0,0,0,0,0,0,0,0
07:38:36,0,0,0,0,0,0,0,0,0
07:38:45,0,0,0,0,0,0,0,0,0
07:38:54,0,0,0,0,0,0,0,0,0
07:39:02,0,0,0,0,0,0,0,0,0
07:39:11,0,0,0,0,0,0,0,0,0
07:39:20,0,0,0,0,0,0,0,0,0
07:39:46,0,0,0,0,0,0,0,0,0
07:39:55,0,0,0,0,0,0,0,0,0
07:40:04,0,0,0,0,0,0,0,0,0
07:40:13,0,0,0,0,0,0,0,0,0
07:40:22,0,0,0,0,0,0,0,0,0
07:40:31,0,0,0,0,0,0,0,0,0
07:40:39,0,0,0,0,0,0,0,0,0
07:41:06,0,0,0,0,0,0,0,0,0
07:41:14,0,0,0,0,0,0,0,0,0
07:41:23,84,0,0,0,0,0,0,0,0
07:41:32,0,0,0,0,0,0,0,0,0
07:41:41,38,0,0,0,0,0,0,0,0
07:41:50,83,0,0,0,0,0,0,0,0
07:41:59,99,0,0,0,0,0,0,0,0
07:42:08,102,0,0,0,0,0,0,0,0
07:42:34,0,0,0,0,0,0,0,0,0
07:42:43,0,0,0,0,0,0,0,0,0
07:42:52,0,0,0,0,0,0,0,0,0
07:43:00,0,0,0,0,0,0,0,0,0
07:43:09,0,0,0,0,0,0,0,0,0
07:43:18,0,0,0,0,0,0,0,0,0
07:43:45,0,0,0,0,35,0,0,0,0
07:43:54,0,0,0,0,82,0,0,0,0
07:44:03,0,0,0,0,78,0,0,0,0
07:44:12,0,0,0,0,39,0,0,0,0
07:44:22,43,0,0,0,78,0,0,0,0
07:44:31,102,0,0,0,84,0,0,0,20
07:44:40,99,0,0,0,36,0,0,0,52
07:44:49,111,0,0,0,78,0,0,0,53
07:44:59,108,0,0,0,82,0,0,0,53
07:45:11,96,0,0,0,86,0,0,0,54
07:45:31,0,0,0,0,82,0,0,0,54
07:45:53,0,70,0,0,0,0,0,0,0
07:46:25,0,71,0,0,0,0,0,0,0
07:46:45,0,0,0,0,0,0,20,0,0
07:46:54,0,0,0,0,0,0,0,0,0
07:47:15,0,77,0,0,0,0,0,0,0
07:47:25,0,76,0,0,0,0,0,0,0
07:47:37,0,76,0,0,0,0,0,0,55
07:47:49,0,77,0,0,0,0,0,0,53
07:47:59,0,76,0,0,0,0,0,0,55
07:48:08,0,73,0,0,0,0,0,0,53
07:48:23,20,59,0,0,0,0,0,0,52
07:49:12,0,77,0,0,0,0,0,0,0
07:49:22,0,0,0,0,0,0,0,0,0
07:49:31,0,0,0,0,0,0,0,0,0
